식품명,식품대분류명,대표식품명,식품중분류명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),인(mg),칼륨(mg),나트륨(mg),식품중량
방풍나물무침,나물·숙채류,방풍나물무침,방풍,100g,76,4.39,1.73,10.74,2.91,76,456,267,80g
배추나물,나물·숙채류,배추나물,배추,100g,61,2.01,2.19,8.45,6.24,55,246,276,80g
비름나물무침,나물·숙채류,비름나물무침,비름,100g,73,3.46,4.05,5.7,0.86,57,339,335,80g
버섯조림,조림류,버섯조림,버섯,100g,60,4.38,2,6.23,1.95,121,308,302,150g
병어조림,조림류,병어조림,병어,100g,112,12.46,4.78,4.87,0.22,147,255,842,100g
삼치조림,조림류,삼치조림,삼치,100g,125,15.88,5.63,2.61,2.03,214,427,441,100g
양미리조림,조림류,양미리조림,양미리,100g,65,5.76,0.66,9.09,2.2,160,324,711,100g
어묵조림,조림류,어묵조림,어묵,100g,159,5.83,4.73,23.16,2.43,72,174,428,200g
연근조림,조림류,연근조림,연근,100g,174,2.68,5.1,29.42,2.78,55,258,661,50g
오징어조림,조림류,오징어조림,오징어,100g,137,16.55,2.37,12.45,6.85,216,275,1469,150g
오징어채조림,조림류,오징어채조림,오징어,100g,240,23.52,4.9,25.36,13.78,205,143,1130,50g
우엉조림,조림류,우엉조림,우엉,100g,188,4.8,3.33,34.8,28.43,147,388,1174,30g
장조림_달걀,조림류,장조림,달걀,100g,138,9.85,7.12,8.67,6.87,134,180,628,100g
장조림_메추리알,조림류,장조림,달걀,100g,203,14.25,13.41,6.3,3.48,269,132,755,100g
장조림_소고기,조림류,장조림,소,100g,69,10.41,0.86,4.84,1,86,154,543,100g
장조림_소고기_메추리알,조림류,장조림,소,100g,157,11.69,5.39,15.56,3.32,185,282,877,100g
쥐포조림,조림류,쥐포조림,쥐포,100g,276,13.03,8.86,36.12,23.37,158,215,1265,100g
코다리조림,조림류,코다리조림,코다리,100g,86,16.46,0.4,4.16,3.67,163,353,466,100g
콩조림(콩자반),조림류,콩조림(콩자반),콩,100g,281,17.97,7.73,34.83,3.53,251,602,868,30g
감자튀김,튀김류,감자튀김,감자,100g,312,4.55,17.01,35.15,0.37,123,657,78,150g
김튀김,튀김류,김튀김,김,100g,522,11,28.9,54.36,0.14,214,577,606,50g
다시마튀각,튀김류,다시마튀각,다시마,100g,462,8.44,26.52,47.32,17.24,211,3798,1305,50g
잔멸치볶음_홍고추_풋고추,볶음류,잔멸치볶음,고추,100g,228,33.28,8,5.72,3.76,742,665,2061,50g
